product_id,product_category,product_name,product_price,scrapy_datetime,style_id,color_id,color_name,fit,size,product safety,composition
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Dark denim blue,Slim fit,,,"Cotton 98%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Dark gray denim,Slim fit,,,"Cotton 98%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Denim blue,Slim fit,,,"Cotton 98%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Gray,Slim fit,,,"Cotton 98%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Light denim blue,Slim fit,,,"Cotton 98%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Midnight blue,Slim fit,,,"Cotton 98%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Dark gray,Slim fit,,,"Cotton 98%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Denim blue,Slim fit,,,"Cotton 98%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,White,Slim fit,,,"Cotton 98%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Pale denim blue,Slim fit,,,"Cotton 98%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Dark denim blue,Slim fit,,,"Cotton 88%, Polyester 10%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Dark denim blue,Slim fit,,,Pocket lining: Cotton 100%
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Dark gray denim,Slim fit,,,"Cotton 88%, Polyester 10%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Dark gray denim,Slim fit,,,Pocket lining: Cotton 100%
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Denim blue,Slim fit,,,"Cotton 88%, Polyester 10%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Denim blue,Slim fit,,,Pocket lining: Cotton 100%
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Gray,Slim fit,,,"Cotton 88%, Polyester 10%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Gray,Slim fit,,,Pocket lining: Cotton 100%
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Black,Slim fit,,,"Cotton 88%, Polyester 10%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Black,Slim fit,,,Pocket lining: Cotton 100%
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Midnight blue,Slim fit,,,"Cotton 88%, Polyester 10%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Midnight blue,Slim fit,,,Pocket lining: Cotton 100%
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Dark gray,Slim fit,,,"Cotton 88%, Polyester 10%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Dark gray,Slim fit,,,Pocket lining: Cotton 100%
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Denim blue,Slim fit,,,"Cotton 88%, Polyester 10%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Denim blue,Slim fit,,,Pocket lining: Cotton 100%
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,White,Slim fit,,,"Cotton 88%, Polyester 10%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,White,Slim fit,,,Pocket lining: Cotton 100%
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Pale denim blue,Slim fit,,,"Cotton 88%, Polyester 10%, Elastane 2%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Pale denim blue,Slim fit,,,Pocket lining: Cotton 100%
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Dark denim blue,Slim fit,"The model is 190cm/6'3"" and wears a size 31/32",,Pocket lining: Cotton 100%
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Dark denim blue,Slim fit,"The model is 190cm/6'3"" and wears a size 31/32",,"Cotton 89%, Polyester 10%, Elastane 1%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Dark gray denim,Slim fit,"The model is 190cm/6'3"" and wears a size 31/32",,Pocket lining: Cotton 100%
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Dark gray denim,Slim fit,"The model is 190cm/6'3"" and wears a size 31/32",,"Cotton 89%, Polyester 10%, Elastane 1%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Denim blue,Slim fit,"The model is 190cm/6'3"" and wears a size 31/32",,Pocket lining: Cotton 100%
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Denim blue,Slim fit,"The model is 190cm/6'3"" and wears a size 31/32",,"Cotton 89%, Polyester 10%, Elastane 1%"
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Gray,Slim fit,"The model is 190cm/6'3"" and wears a size 31/32",,Pocket lining: Cotton 100%
636207006,men_jeans_slim,Slim Jeans,$ 19.99,2021-04-11 17:48:05,636207,6,Gray,Slim fit,"The model is 190cm/6'3"" and wears a size 31/32",,"Cotton 89%, Polyester 10%, Elastane 1%"
